N_neighbourhood,N_district,Neighbourhood,District,Mean_Income_Year,Percentage_Female,Percentage_0_15,Percentage_16_25,Percentage_26_65,Percentage_66_Plus,Points_Daily_Food,Points_Daily_Others,Points_House_Euipment,Points_Clothing,Points_Culture,Points_Vehicles,Points_State_Agents,Points_Education,Points_Finances,Points_Restaurants_Hotels,Points_Health,Points_Departments_Stores,Points_Souvenirs_Thrift_Store,Points_Car_Parks,Points_Esthetics,Points_Sports,Points_Religion,Points_Administration,2017_06_Airbnb_Number,2017_06_Airbnb_Price,2017_06_Airbnb_Price_Person,2017_06_Airbnb_Location_Score,Alone_18_25,Alone_25_64,Alone_65_Plus,Household,Education_None,Education_Elementary_School,Education_Middle_School,Education_High_School,Education_University,Origin_Spain,Origin_italy,Origin_France,Origin_UK,Origin_Romania,Origin_Germany,Origin_Russia,Origin_Ucrany,Origin_Portugal,Origin_Netherlands,Origin_Poland,Origin_Bulgaria,Origin_Sweden,Origin_Belgium,Origin_Ireland,Origin_Greece,Origin_Other_Europe,Origin_Morocco,Origin_Argelia,Origin_Senegal,Origin_Other_Africa,Origin_Bolivia,Origin_Colombia,Origin_Peru,Origin_Ecuator,Origin_Honduras,Origin_Brazil,Origin_Venezuela,Origin_Argentina,Origin_Dominican_Republic,Origin_USA,Origin_Mexico,Origin_Paraguay,Origin_Chile,Origin_Cuba,Origin_Uruguay,Origin_Salvador,Origin_Other_America,Origin_China,Origin_Pakistan,Origin_Philippines,Origin_India,Origin_Bangladesh,Origin_Georgia,Origin_Armenia,Origin_Japan,Origin_Nepal,Origin_Other_Asia,Origin_Oceania
1,1,el raval,ciutat vella,9001.176987060999,0.45803226348512854,0.13651067047555032,0.11298521256931608,0.6377919677365149,0.11271214921861872,484,81,84,191,133,1,10,52,36,540,14,0,86,13,136,7,25,18,1433,79.48569434752268,27.644290842328175,9.380032206119163,0.004074945387329861,0.07929339606788775,0.11054864728617039,2.81  ,0.018946395563770795,0.2669929423626281,0.20315913291883717,0.15755755335237775,0.2109309359771467,0.5076457738195261,0.03373382624768946,0.016110737691144347,0.009578222147538229,0.006301461939169887,0.00781381280457066,0.004074945387329861,0.0026256091413207863,0.004495042849941186,0.003318769954629474,0.0025625945219290877,0.0018904385817509661,0.0034868089396740045,0.0020584775667954964,0.0010292387833977482,0.0014913459922702066,0.009242144177449169,0.02814652999495883,0.0036338430515879686,0.001071248529658881,0.0052722231557721395,0.00651151067047555,0.006154427827255923,0.002814652999495883,0.0054402621408166695,0.0023105360443622922,0.005104184170727609,0.0036968576709796672,0.005986388842211393,0.004284994118635524,0.00464207696185515,0.003822886909763065,0.002163501932448328,0.0036968576709796672,0.001512350865400773,0.0007771803058309528,0.0008401949252226517,0.0025415896487985213,0.0068895983868257436,0.10061334229541254,0.08525878003696857,0.02186607292891951,0.05971685431019997,0.00130230213409511,0.0009242144177449168,0.0008401949252226517,0.003087716350193245,0.008654007729793313,0.0006931608133086876
2,1,el barri gotic,ciutat vella,11978.842547627943,0.479890424604657,0.08915452621093263,0.115365458846968,0.6652347154775246,0.13024529946457478,106,74,46,443,54,1,3,17,30,513,4,1,169,7,73,2,13,32,1184,92.62837837837837,30.031356320809454,9.803607214428858,0.007284273440418379,0.10459469555472543,0.13715602042086913,2.48  ,0.018179554227368944,0.15801270078446022,0.1672892541402067,0.21298717469804507,0.35699165732785454,0.5432698294110323,0.06916946831029759,0.035238451002365834,0.021977337815963144,0.009152035861038476,0.01774374299589092,0.007782343419250405,0.003860042335948201,0.007408790935126385,0.00865396588220645,0.004793923546258249,0.002614867388868136,0.009587847092516498,0.004544888556842236,0.004109077325364214,0.002614867388868136,0.020171834142697048,0.0211679741003611,0.003237454862408168,0.002614867388868136,0.008155895903374424,0.005105217283028265,0.009650105839870502,0.004358112314780227,0.0029884198729921555,0.004171336072718217,0.008529448387498443,0.006412650977462333,0.011891420744614618,0.0022413149047441168,0.011766903249906611,0.00828041339808243,0.0021790561573901135,0.007346532187772382,0.002054538662682107,0.0013696924417880712,0.0011206574523720584,0.004295853567426224,0.008716224629560454,0.04463952185282032,0.016311791806748847,0.01058398705018055,0.006225874735400324,0.0018055036732660939,0.0005603287261860292,0.0024903498941601294,0.0008716224629560453,0.014568546880836758,0.0021167974100361102
3,1,la barceloneta,ciutat vella,11548.549279807949,0.5028674313150173,0.08989063750333422,0.10116030941584422,0.6316351026940518,0.1773139503867698,101,20,8,25,17,0,10,17,7,200,14,0,11,4,34,3,3,6,327,81.65137614678899,31.786467889908256,9.648221343873518,0.006068284875966924,0.11056281675113364,0.16024273139503867,2.19  ,0.037143238196852495,0.20725526807148573,0.22132568684982662,0.19065084022405976,0.2509335822886103,0.657175246732462,0.06308348893038143,0.01880501467057882,0.01460389437183249,0.005801547079221126,0.013270205388103494,0.008135502800746866,0.00713523606295012,0.006935182715390771,0.006001600426780475,0.0059349159775940255,0.004334489197119232,0.007268604961323019,0.002667377967457989,0.0024673246198986397,0.0016004267804747934,0.022139237129901308,0.02153907708722326,0.003534275806881835,0.0011336356361696452,0.0034009069085089356,0.004601226993865031,0.007335289410509469,0.0036676447052547347,0.004067751400373433,0.0012670045345425447,0.011269671912510004,0.006935182715390771,0.008002133902373967,0.0012670045345425447,0.006735129367831422,0.006201653774339824,0.00233395572152574,0.005268071485729528,0.003067484662576687,0.0019338490264070418,0.0007335289410509469,0.003134169111763137,0.004334489197119232,0.027540677514003735,0.001200320085356095,0.005068018138170179,0.0010002667377967459,0.0006001600426780475,0.0005334755934915977,0.0007335289410509469,0.001400373432915444,0.007401973859695919,0.002133902373966391
4,1,sant pere santa caterina i la ribera,ciutat vella,12657.310285638836,0.5022666255886624,0.10347255842612561,0.104352801373179,0.6555609348180098,0.1366137053826856,210,56,52,284,22,1,17,39,17,394,12,0,81,7,96,5,10,20,1070,84.46822429906543,31.00409842753301,9.821348314606741,0.005193433387614982,0.12024118656749262,0.15883983979578364,2.26  ,0.018969235509000485,0.1612164957528278,0.15452664935522203,0.19999119757052947,0.3596672681660138,0.5889705558734211,0.0651819902293033,0.032568989040975306,0.0252629725804322,0.007658113639364464,0.016768628141367016,0.0077461379340698034,0.002992826019981515,0.007834162228775142,0.009022490207297213,0.003917081114387571,0.0016724615994014348,0.005369481977025659,0.003520971788213547,0.003653008230271555,0.0028167774305708376,0.018485101888121122,0.02922406584217244,0.004489239029972272,0.003124862462039523,0.005457506271730998,0.004269178293208925,0.009550635975529246,0.004269178293208925,0.0041371418511509175,0.0014083887152854188,0.008846441617886537,0.005765591303199683,0.010474891069935302,0.0066018221029004,0.011091061132872672,0.00853835658641785,0.0016284494520487655,0.005193433387614982,0.0010122793891113948,0.0021565952202807974,0.001188327978522072,0.005237445534967651,0.01663659169930901,0.01720874961489371,0.012279389111394746,0.006029664187315699,0.00198054663087012,0.0020245587782227897,0.0003520971788213547,0.0030368381673341843,0.00026407288411601604,0.009550635975529246,0.0020685709255754588
5,2,el fort pienc,eixample,16376.465454772613,0.5297976011994003,0.12231384307846077,0.09245377311344327,0.5819277861069465,0.20330459770114942,136,53,72,58,34,18,14,29,16,209,23,1,13,11,71,17,5,5,569,104.44112478031634,29.65806273886239,9.401273885350319,0.001999000499750125,0.07171414292853573,0.11650424787606196,2.50  ,0.015211144427786106,0.1162543728135932,0.16126311844077962,0.2384745127436282,0.33523863068465765,0.7815779610194903,0.03110944527736132,0.016522988505747127,0.005997001499250375,0.00421664167916042,0.006621689155422289,0.004528985507246377,0.00268615692153923,0.004091704147926037,0.002623688155922039,0.0020927036481759123,0.0014992503748125937,0.0014055472263868067,0.001343078460769615,0.0011244377811094452,0.0008120939530234882,0.006809095452273863,0.0050912043978011,0.0007808595702148925,0.0009682658670664667,0.0028423288355822088,0.00399800099950025,0.006028235882058971,0.005216141929035482,0.0037481259370314842,0.0029985007496251873,0.00624687656171914,0.006028235882058971,0.005590954522738631,0.0018115942028985507,0.00312343828085957,0.0051849075462268865,0.0012493753123438282,0.0028735632183908046,0.0017178910544727636,0.001343078460769615,0.0005622188905547226,0.0023738130934532736,0.03991754122938531,0.00399800099950025,0.0012181409295352324,0.0018740629685157421,0.0010932033983008496,0.0009995002498750624,0.00031234382808595704,0.0007808595702148925,0.0007183908045977011,0.004372813593203398,0.0002811094452773613
6,2,la sagrada familia,eixample,15980.087370728963,0.5423465724984963,0.11080929005219349,0.09055278526940763,0.5850714992529928,0.213566425425406,306,88,90,138,70,20,43,43,52,393,58,0,70,23,181,13,5,1,1010,86.83366336633664,25.715922037258657,9.543795620437956,0.002173111624206911,0.07662158753565261,0.12875686373425949,2.36  ,0.01951919905314422,0.13001804458759386,0.17251013795378256,0.23617066687362967,0.3217175342944178,0.8092318438464076,0.023166922136634394,0.00902229379693048,0.004501445507285744,0.004016375948310988,0.003822348124721085,0.004268612118977861,0.002502958924309746,0.004385028813131803,0.0018432643241040765,0.0023089311007198432,0.0007567085120006209,0.0013970003298473,0.0006790973825646598,0.0008537224237955723,0.0007373057296416306,0.0057044180135431425,0.00556859853703021,0.0006402918178466792,0.0006790973825646598,0.0016492365005141738,0.0067133626962106365,0.0083820019790838,0.007625293467083179,0.005413376278158288,0.0031820563068744056,0.005529792972312229,0.007295446166980345,0.005025320630978482,0.0028328062244125807,0.0026775839655406586,0.005102931760414443,0.003764139777644114,0.003046236830361474,0.001668639282873164,0.0011835697238984071,0.0006014862531286987,0.0023283338830788337,0.022390810842274782,0.003279070218669357,0.0017850559770271057,0.0025417644890277265,0.0006596946002056695,0.0014358058945652806,0.0014358058945652806,0.0013387919827703293,0.0020372921476939795,0.004773084460311609,0.0002522361706668736
7,2,la dreta de l'eixample,eixample,20945.33539907382,0.536638518114955,0.12855261963134476,0.09513756469626805,0.573776446018342,0.20253336965404523,366,162,195,549,140,18,64,97,110,921,105,2,33,50,200,22,17,36,1695,147.55811209439528,34.95104089208071,9.747050147492626,0.003541269408880414,0.08487696358848633,0.13161717969672204,2.39  ,0.009715790429492418,0.0720512122037592,0.1133887224189594,0.2264142377190593,0.4408426405157541,0.7882502497048942,0.03214383001906838,0.023245255607009897,0.010374103332425316,0.002292744937800781,0.011055116680286933,0.005516208117679107,0.0020884409334422957,0.004290384091528194,0.00454008898574412,0.002292744937800781,0.0008626169072913829,0.0025878507218741486,0.002338145827658222,0.001952238263869972,0.0011577226913647507,0.008762371742486152,0.0024289476073731044,0.0009534186870062653,0.00029510578407336785,0.002338145827658222,0.0030418596204485606,0.006628529919186416,0.004199582311813312,0.002519749387087987,0.0017252338145827659,0.006356124580041768,0.005016798329247253,0.00490329610460365,0.0012939253609370743,0.008331063288840462,0.006174521020612004,0.001543630255153001,0.0028829565059475164,0.0012939253609370743,0.0009534186870062653,0.0005902115681467357,0.003200762734949605,0.015595205666031054,0.0012712249160083539,0.0015663307000817217,0.0012939253609370743,0.0006356124580041769,0.0005902115681467357,0.00043130845364569147,0.0020430400435848543,0.0005902115681467357,0.008489966403341506,0.0011123218015073096
8,2,l'antiga esquerra de l'eixample,eixample,19231.3131444518,0.5357109071989405,0.11633241888184656,0.09450383123640148,0.5837905590767193,0.20537319080503263,313,91,130,215,81,14,53,45,60,731,99,1,21,55,217,13,11,7,997,110.5085255767302,31.236657530589333,9.610552763819095,0.0033818938605619147,0.08930091760476776,0.13972188061678176,2.33  ,0.012108598997256645,0.08331756692838899,0.1296707974647621,0.23897928294390314,0.41365528332229684,0.7952889982026299,0.027670040677324755,0.014851953457572604,0.008442909847696528,0.003310945038312364,0.008442909847696528,0.004280578942389556,0.0021757638823195536,0.004091382083057421,0.0030035001418976443,0.002246712704569104,0.0009932835114937091,0.0019865670229874182,0.0013480276227414625,0.0012061299782423613,0.0011351811559928105,0.008064516129032258,0.002908901712231577,0.00042569293349730395,0.00028379528899820264,0.0016791221265726988,0.0038075867940592185,0.00827736259578091,0.005368460883549333,0.0028379528899820264,0.0019392678081543847,0.007898968877116639,0.007118531832371582,0.005794153817046637,0.0018210197710718003,0.0063144451802100085,0.005983350676378772,0.002246712704569104,0.004044082868224387,0.0017500709488222496,0.0008513858669946079,0.0009459842966606754,0.004185980512723488,0.015916185791315863,0.003121748178980229,0.00782802005486709,0.002081165452653486,0.00037839371866427016,0.0007804370447450572,0.00021284646674865198,0.0023413111342351716,0.0006858386150789897,0.0062671459653769745,0.0005675905779964053
9,2,la nova esquerra de l'eixample,eixample,17849.9696287384,0.5357167411481609,0.11308009625300791,0.09061533172911654,0.5783946373324166,0.2179099346854589,228,81,107,113,64,32,35,68,41,443,90,1,26,29,223,23,10,9,784,76.51530612244898,27.13456050574991,9.359375,0.001959436232382262,0.07842901340666895,0.12882433826057063,2.37  ,0.013166036438638708,0.10720178755586111,0.14984530766586457,0.24032313509797182,0.3672567892746648,0.8212616019250601,0.022155379855620487,0.008903403231350979,0.004039188724647645,0.004228257133035407,0.004365761430044689,0.003850120316259883,0.0019422481952561018,0.003918872464764524,0.0017531797868683397,0.0013922310072189755,0.0005156411137848057,0.0009969061533172912,0.000979718116191131,0.0007562736335510484,0.000807837744929529,0.0061189412169130285,0.003832932279133723,0.0004812650395324854,0.00030938466827088346,0.0016500515641113785,0.003918872464764524,0.007408044001375043,0.007218975592987281,0.0048126503953248535,0.002320385012031626,0.007751804743898247,0.0059126847713991066,0.005122035063595738,0.0020453764180130628,0.0030250945342041938,0.004211069095909247,0.002595393606050189,0.003300103128222757,0.00178755586112066,0.0008422138191818494,0.0005500171880371262,0.002921966311447233,0.02162255070470952,0.003300103128222757,0.0056892402887590236,0.0015469233413544173,0.0009453420419388106,0.0008422138191818494,0.0007218975592987281,0.0019422481952561018,6.875214850464078e-05,0.005225163286352698,0.0002750085940185631
10,2,sant antoni,eixample,15996.871978093624,0.526274612074586,0.11010562002868692,0.08822532272786543,0.5852392750032599,0.21642978224018777,282,97,95,209,103,6,36,44,33,417,47,0,31,30,136,16,6,7,951,87.42902208201893,26.619157911547486,9.54064039408867,0.0018776893988786021,0.08353109923066893,0.13952275394445168,2.34  ,0.020472030251662537,0.14103533707132612,0.17444256095970792,0.22871300039118528,0.3143304211761638,0.7878471769461468,0.02790455078889034,0.012178902073282044,0.007067414265223628,0.0031555613508932063,0.006571912896075107,0.0029990872343199897,0.0017472943017342547,0.004016168992045899,0.0018776893988786021,0.0020080844960229495,0.001147476854870257,0.0015125831268744294,0.0011735558742991263,0.0014343460685878212,0.0007562915634372147,0.00594601642978224,0.004746381536054244,0.00049550136914852,0.00039118529143304214,0.0016168992045899075,0.004876776633198592,0.005737384274351285,0.0044595123223366805,0.003520667622897379,0.0018516103794497328,0.0053722780023471115,0.004902855652627461,0.0044595123223366805,0.003677141739470596,0.0037032207588994655,0.004120485069761377,0.0017212152823053853,0.0027904550788890336,0.0013561090103012127,0.0009649237188681705,0.000599817446863998,0.002294953709740514,0.020445951232233667,0.012570087364715087,0.01687312557047855,0.004068327030903638,0.0050854087886295475,0.0007562915634372147,0.0006258964662928674,0.0014343460685878212,0.0016690572434476464,0.00448559134176555,0.00044334333029078107
